Community,Commercial Fishing Dependence,Recreational Fishing Dependence,Social Vulnerability,Gentrification Pressure,Sea Level Rise Risk,Species Vulnerability,Catch Composition Diversity,,Social Vulnerability,Gentrification Pressure,Sea Level Rise Risk,Species Vulnerability,Catch Composition Diversity,,
"Hampton Bays, NY",High,High,Low,MedHigh,Medium,Mixed,Moderate,,0,1,0,0,0,1,
"Montauk, NY",High,High,Medium,MedHigh,Medium,Mixed,High,,0,1,0,0,0,1,
"Barnegat Light, NJ",High,High,Medium,High,Low,High/Very High,Low,,0,1,0,1,1,3,1
"Cape May, NJ",High,High,Medium,MedHigh,Medium,High/Very High,Low,,0,1,0,1,1,3,1
"Beaufort, NC",High,High,MedHigh,Low,Low,Mixed,Low,,1,0,0,0,1,2,
"Wanchese, NC",High,High,Medium,Low,Medium,Mixed,High,,0,0,0,0,0,0,
"Point Lookout, NY",MedHigh,High,Low,MedHigh,Low,High/Very High,Low,,0,1,0,1,1,3,1
"Belmar, NJ",MedHigh,High,Medium,Medium,Low,Moderate,Low,,0,0,0,0,1,1,
"Point Pleasant, NJ",MedHigh,High,Low,Medium,Medium,High/Very High,Moderate,,0,0,0,1,0,1,
"Waretown, NJ",MedHigh,High,Low,Medium,Low,Low,Low,,0,0,0,0,1,1,
"Ocean City, MD",MedHigh,High,Medium,Medium,Medium,Mixed,High,,0,0,0,0,0,0,
"Aurora, NC",MedHigh,High,MedHigh,Medium,Low,N/A,N/A,,1,0,0,0,0,1,
"Hatteras, NC",MedHigh,High,Medium,Low,N/A,Mixed,High,,0,0,0,0,0,0,
"Oriental, NC",MedHigh,High,Medium,Medium,Low,Mixed,Low,,0,0,0,0,1,1,
"Chincoteague, VA",MedHigh,High,Medium,Medium,High,Moderate,Moderate,,0,0,1,0,0,1,
"Wachapreague, VA",MedHigh,High,Medium,Medium,Low,High/Very High,Moderate,,0,0,0,1,0,1,
"Sea Isle City, NJ",MedHigh,MedHigh,Medium,MedHigh,Medium,Moderate,Low,,0,1,0,0,1,2,
"Bowers, DE",MedHigh,MedHigh,Medium,Medium,Low,N/A,N/A,,0,0,0,0,0,0,
"Hobucken, NC",MedHigh,MedHigh,Medium,Medium,N/A,Mixed,Low,,0,0,0,0,1,1,
"Swan Quarter, NC",MedHigh,MedHigh,MedHigh,Low,N/A,Mixed,Low,,1,0,0,0,1,2,
"Hampton, VA",MedHigh,MedHigh,MedHigh,Low,High,Moderate,Moderate,,1,0,1,0,0,2,
"Newport News, VA",MedHigh,MedHigh,MedHigh,Low,High,High/Very High,Low,,1,0,1,1,1,4,1
,,,,,,,,,,,,,,,0.2
