"","Predator","Prey","Year","Mean.consump","UCI","LCI","Mean.cb","UCI.cb","LCI.cb"
"4","All predators","Loligo squid (Loligo sp.)",1973,1.61288247809655,4.86281153418231,0.148196056550196,0.056020560861063,0.155219403717152,0.00513345288186714
"12","All predators","Loligo squid (Loligo sp.)",1974,0.0999258966906709,0.528470616378288,0.000732399621459841,0.000778717964646835,0.00403490213283351,6.67070169516347e-06
"20","All predators","Loligo squid (Loligo sp.)",1975,6.3176605570021,36.5651290792587,0.0116828588494438,0.158768895947683,0.859893208790422,0.000295990699536642
"28","All predators","Loligo squid (Loligo sp.)",1976,37.9245242268883,98.8830830874196,5.76486786589376,0.108177701886318,0.40521961561423,0.00893176703683207
"36","All predators","Loligo squid (Loligo sp.)",1977,4.74795174586097,15.2328674521865,0.203713062708015,0.0264786206191659,0.0882325977233919,0.000378208262061179
"44","All predators","Loligo squid (Loligo sp.)",1978,14.6829702595257,33.4930844347554,3.72090247921912,0.0322983419168329,0.132094174919721,0.00105471444018503
"52","All predators","Loligo squid (Loligo sp.)",1979,15.8899606982183,53.9032127397773,3.5806959973262,0.0590835757553787,0.331776885326852,0.000999438263741805
"60","All predators","Loligo squid (Loligo sp.)",1980,2.85496925396168,8.75899200439069,0.373658360613987,0.00903207517012915,0.0608526137852545,8.99259680103222e-05
"68","All predators","Loligo squid (Loligo sp.)",1981,4.87681739008106,12.0809853543978,1.26890401992739,0.0146092595492557,0.0652004564590575,0.000844757834827866
"76","All predators","Loligo squid (Loligo sp.)",1982,11.8423540607428,42.5229481417572,2.86558519206902,0.0328506250054856,0.181060443317879,0.00189226841312013
"84","All predators","Loligo squid (Loligo sp.)",1983,8.99662554250577,44.8299338915708,0.941511696638504,0.0287084064106611,0.152825100630377,0.00152127766047542
"92","All predators","Loligo squid (Loligo sp.)",1984,2.92250945804495,11.8118753000386,0.129554557930305,0.0128091507470591,0.0638048718844846,0.000237165813898049
"100","All predators","Loligo squid (Loligo sp.)",1985,22.7495138757441,93.0989153589865,2.27253262183014,0.0421322059789446,0.215790909829822,0.001083516482466
"108","All predators","Loligo squid (Loligo sp.)",1986,6.24845072294778,15.2736220293152,1.59133884725239,0.0209168676792671,0.085182386336658,0.000829779071431326
"116","All predators","Loligo squid (Loligo sp.)",1987,9.79154327719965,21.0030687926401,2.82141261514262,0.019340304520501,0.0659833949979441,0.000950261840825427
"124","All predators","Loligo squid (Loligo sp.)",1988,11.550089624456,32.6329815904597,3.65840750623234,0.0271723679827083,0.099710246455352,0.00375280987013034
"132","All predators","Loligo squid (Loligo sp.)",1989,17.8096600011337,65.7584985439596,5.02247086447165,0.0470611576108981,0.176632169319107,0.0047913426120951
"140","All predators","Loligo squid (Loligo sp.)",1990,30.0004037786044,66.9670944026349,10.2605867501887,0.0517511051757215,0.191617469215657,0.00287496373503756
"148","All predators","Loligo squid (Loligo sp.)",1991,6.36867561316661,12.5954651162212,2.73767156594852,0.0127534965131978,0.0418818102249256,0.00141489893371976
"156","All predators","Loligo squid (Loligo sp.)",1992,18.8581345952392,50.1146636232186,4.981042634937,0.0285907391433,0.0880209531802596,0.0043586032952288
"164","All predators","Loligo squid (Loligo sp.)",1993,10.7235421967215,19.6574842537833,4.27789994212518,0.0292944949143653,0.0941924405388324,0.00374256703646448
"172","All predators","Loligo squid (Loligo sp.)",1994,7.77391967717029,22.0789576104318,1.95320189951261,0.0237166166153249,0.0967753753938548,0.00299725292690989
"180","All predators","Loligo squid (Loligo sp.)",1995,7.70395294073411,17.1656537307947,2.44900292361234,0.0214720693266969,0.0697758938626002,0.00189820481657201
"188","All predators","Loligo squid (Loligo sp.)",1996,7.90455466666333,15.7566465822561,3.71121781840653,0.0156528432437921,0.0517094036884062,0.00256506057664098
"196","All predators","Loligo squid (Loligo sp.)",1997,7.15053108760713,24.2685214020838,2.45514481703555,0.0219583360387774,0.0779091874337198,0.00273703457901628
"204","All predators","Loligo squid (Loligo sp.)",1998,7.67217311296665,16.4164028590404,3.67944339013024,0.0220288178183724,0.0911174063108489,0.00376828000645587
"212","All predators","Loligo squid (Loligo sp.)",1999,12.8136381573462,24.0278386341159,6.05138141544068,0.0299172727810378,0.101315470268062,0.00566701821172279
"220","All predators","Loligo squid (Loligo sp.)",2000,53.673302863456,148.597644474414,15.6164491914192,0.122252555053982,0.385265351337473,0.0136335376464197
"228","All predators","Loligo squid (Loligo sp.)",2001,8.99330696846391,15.5076931794664,3.93426894298947,0.0221618134129312,0.0716598544579114,0.00270020897610082
"236","All predators","Loligo squid (Loligo sp.)",2002,78.181636901799,218.843634679515,24.5641666386626,0.163379315412237,0.606209279176602,0.0179617222538978
"244","All predators","Loligo squid (Loligo sp.)",2003,18.3825683305889,36.6237824453464,7.80191392961572,0.0722949979309191,0.312329887634437,0.00954970951699085
"252","All predators","Loligo squid (Loligo sp.)",2004,11.8870248013247,34.0544511152657,3.25722688747588,0.0337663686011489,0.105747896856701,0.00523595122033242
"260","All predators","Loligo squid (Loligo sp.)",2005,19.1861767458413,35.4475288312921,7.76725004831408,0.048022350389146,0.144565621360735,0.00492518375899235
"268","All predators","Loligo squid (Loligo sp.)",2006,81.2900283154073,253.034805104327,24.4067882451702,0.138850283307725,0.54474105866842,0.0153596563995225
"276","All predators","Loligo squid (Loligo sp.)",2007,22.6166745970114,53.7711012936239,9.83358875773113,0.050824241538539,0.218581588475476,0.0112584571811068
"284","All predators","Loligo squid (Loligo sp.)",2008,20.1536443262032,43.3110547878626,5.27652608057137,0.0424132261494494,0.127128495583093,0.00409144827729046
"292","All predators","Loligo squid (Loligo sp.)",2009,9.29450251285918,21.6695476215052,3.31408124028208,0.0212596943740346,0.0734641401464027,0.00235778363807517
"300","All predators","Loligo squid (Loligo sp.)",2010,18.523205096308,45.6136966443592,6.41920589709337,0.0477440997842473,0.199168186368259,0.00436102769086239
"308","All predators","Loligo squid (Loligo sp.)",2011,9.35803356796977,18.6496615859946,3.32086454927198,0.0213585762273347,0.0728558541502781,0.00182453692929865
"316","All predators","Loligo squid (Loligo sp.)",2012,82.1493949293243,230.471138333079,24.6918138194747,0.119500263959705,0.423112823402254,0.0171999488471791
"324","All predators","Loligo squid (Loligo sp.)",2013,12.2327151211467,32.7981186854751,3.76393226682006,0.0268325891514164,0.0987271639657491,0.00196395469002399
"332","All predators","Loligo squid (Loligo sp.)",2014,76.8336769694671,334.971700373924,6.65352011873092,0.192872714431848,0.712366222340956,0.0108570628093562
"340","All predators","Loligo squid (Loligo sp.)",2015,7.30546338607858,14.8771495217626,2.77799660862773,0.0196229322468413,0.0717112878405859,0.00167280917170008
"348","All predators","Loligo squid (Loligo sp.)",2016,11.9006330383018,27.0640748904831,4.59752419607522,0.0214157073057345,0.0855401140791878,0.00281924824068224
"356","All predators","Loligo squid (Loligo sp.)",2017,6.81622779431203,22.9958771854136,1.2771356232581,0.0173984757235523,0.0651217910671246,0.00114122786470049
"364","All predators","Loligo squid (Loligo sp.)",2018,15.6445709061462,33.7809806631139,7.21479493455183,0.0409316348752758,0.158673187453401,0.00354796294051604
"372","All predators","Loligo squid (Loligo sp.)",2019,8.89254863594169,26.6356022440425,1.39542729734222,0.0179125754563143,0.0715183317803069,0.00110518016758824
"380","All predators","Loligo squid (Loligo sp.)",2020,NA,0,0,NA,0,0
"388","All predators","Loligo squid (Loligo sp.)",2021,15.5242963963001,34.4179004703815,5.53508304305678,0.0316439992035527,0.110172954210626,0.00275049104880777
"396","All predators","Loligo squid (Loligo sp.)",2022,10.6366549058903,24.968408555543,4.02420864864058,0.0216496600447173,0.0675628680447441,0.00252231505366177
"404","All predators","Loligo squid (Loligo sp.)",2023,NA,0,0,NA,0.107392318902665,0.00217079272484848
