Risk Element|Risk Ranking|Risk Ranking Criteria
 Assessment performance      | Low  | Assessment model(s) passed peer review, high data quality 
 Assessment performance      | Low-Moderate | Assessment passed peer review but some key data and/or reference points may be lacking 
 Assessment performance      | Moderate-High | *This category not used* 
 Assessment performance      | High | Assessment failed peer review or no assessment, data-limited tools applied 
 F status             | Low  | F < Fmsy 
 F status             | Low-Moderate | Unknown, but weight of evidence indicates low overfishing risk 
 F status             | Moderate-High | Unknown status 
 F status             | High | F > Fmsy 
 B status             | Low  | B > Bmsy 
 B status             | Low-Moderate | Bmsy > B > 0.5 Bmsy, or unknown, but weight of evidence indicates low risk 
 B status             | Moderate-High | Unknown status 
 B status             | High | B < 0.5 Bmsy 
 Food web (Prey availability)       | Low  | TBD 
 Food web (Prey availability)       | Low-Moderate | TBD  
 Food web (Prey availability)       | Moderate-High | TBD  
 Food web (Prey availability)       | High | TBD  
 Food web (Predation pressure)       | Low  | TBD 
 Food web (Predation pressure)       | Low-Moderate | TBD  
 Food web (Predation pressure)       | Moderate-High | TBD  
 Food web (Predation pressure)       | High | TBD 
 Food web  (Protected species prey)       | Low  | Few interactions with any protected species 
 Food web  (Protected species prey)       | Low-Moderate | Important prey of 1-2 protected species, or important prey of 3 or more protected species with management consideration of interaction 
 Food web  (Protected species prey)       | Moderate-High | Important prey of 3 or more protected species 
 Food web  (Protected species prey)       | High | Managed species is sole prey for a protected species 
 Ecosystem productivity  | Low  | No trends in ecosystem productivity 
 Ecosystem productivity  | Low-Moderate | Trend in ecosystem productivity (1-2 measures, increase or decrease) 
 Ecosystem productivity  | Moderate-High | Trend in ecosystem productivity (3+ measures, increase or decrease) 
 Ecosystem productivity  | High | Decreasing trend in ecosystem productivity, 4+ measures 
 Climate              | Low  | Low climate vulnerability ranking 
 Climate              | Low-Moderate | Moderate climate vulnerability ranking 
 Climate              | Moderate-High | High climate vulnerability ranking 
 Climate              | High | Very high climate vulnerability ranking 
 Distribution shifts  | Low  | Low potential for distribution shifts 
 Distribution shifts  | Low-Moderate | Moderate potential for distribution shifts 
 Distribution shifts  | Moderate-High | High potential and observed distribution shifts 
 Distribution shifts  | High | Very high potential and observed distribution shifts 
 Estuarine habitat    | Low  | Not dependent on nearshore coastal or estuarine habitat 
 Estuarine habitat    | Low-Moderate | Estuarine dependent, estuarine condition stable 
 Estuarine habitat    | Moderate-High | Estuarine dependent, estuarine condition fair 
 Estuarine habitat    | High | Estuarine dependent, estuarine condition poor 
 Offshore habitat     | Low  | TBD 
 Offshore habitat     | Low-Moderate | TBD 
 Offshore habitat     | Moderate-High | TBD 
 Offshore habitat     | High | TBD 
 Commercial value   | Low  | No trend and low variability in revenue 
 Commercial value   | Low-Moderate | Increasing or high variability in revenue 
 Commercial value   | Moderate-High | Significant long term revenue decrease 
 Commercial value   | High | Significant recent decrease in revenue 
 Recreational angler days/trips   | Low  | No trends in angler trips 
 Recreational angler days/trips   | Low-Moderate | Increasing or high variability in angler trips 
 Recreational angler days/trips   | Moderate-High | Significant long term decreases in angler trips 
 Recreational angler days/trips   | High | Significant recent decreases in angler trips 
 Commercial fishery resilience (Revenue diversity)  | Low  | No trend in diversity measure 
 Commercial fishery resilience (Revenue diversity)  | Low-Moderate | Increasing or high variability in diversity measure 
 Commercial fishery resilience (Revenue diversity)  | Moderate-High | Significant long term downward trend in diversity measure
 Commercial fishery resilience (Revenue diversity)  | High | Significant recent downward trend in diversity measure 
 Commercial fishery resilience (Shoreside support)  | Low  | No trend in shoreside support businesses 
 Commercial fishery resilience (Shoreside support)  | Low-Moderate | Increasing or high variability in shoreside support businesses 
 Commercial fishery resilience (Shoreside support)  | Moderate-High | Significant recent decrease in one measure of shoreside support businesses 
 Commercial fishery resilience (Shoreside support)  | High | Significant recent decrease in multiple measures of shoreside support businesses 
 Commercial fishery resilience (Fleet diversity)      | Low  | No trend in diversity measure 
 Commercial fishery resilience (Fleet diversity)     | Low-Moderate | Increasing or high variability in diversity measure 
 Commercial fishery resilience (Fleet diversity)      | Moderate-High | Significant long term downward trend in diversity measure
 Commercial fishery resilience (Fleet diversity)      | High | Significant recent downward trend in diversity measure 
 Recreational fleet diversity      | Low  | TBD 
 Recreational fleet diversity      | Low-Moderate | TBD
 Recreational fleet diversity      | Moderate-High | TBD
 Recreational fleet diversity      | High | TBD 
 Fishing community vulnerability      | Low  | Few (<10%) vulnerable fishery dependent communities 
 Fishing community vulnerability      | Low-Moderate | 10-25% of fishery dependent communities with >3 high vulnerability ratings 
 Fishing community vulnerability      | Moderate-High | 25-50% of fishery dependent communities with >3 high vulnerability ratings 
 Fishing community vulnerability      | High | Majority (>50%) of fishery dependent communities with >3 high vulnerability ratings 
 Commercial fishing production     | Low  | No trend or increase in seafood landings 
 Commercial fishing production    | Low-Moderate | Increasing or high variability in seafood landings 
 Commercial fishing production     | Moderate-High | Significant long term decrease in seafood landings 
 Commercial fishing production     | High | Significant recent decrease in seafood landings 
 Recreational fishing production  | Low  | No trend or increase in recreational landings 
 Recreational fishing production  | Low-Moderate | Increasing or high variability in recreational landings 
 Recreational fishing production  | Moderate-High | Significant long term decrease in recreational landings 
 Recreational fishing production  | High | Significant recent decrease in recreational landings 
 F Control     | Low  | No recent history (last 5 years) of overages 
 F Control     | Low-Moderate | Small recent overages, but infrequent 
 F Control     | Moderate-High | Routine recent overages, but small to moderate 
 F Control     | High | Routine recent significant overages 
 Tech Interactions   | Low  | No interactions with non-MAFMC managed species 
 Tech Interactions   | Low-Moderate | Interactions with non-MAFMC managed species but infrequent, Category II fishery under MMPA; or AMs not likely triggered 
 Tech Interactions   | Moderate-High | AMs in non-MAFMC managed species may be triggered; or Category I fishery under MMPA (but takes less than PBR) 
 Tech Interactions   | High | AMs in non-MAFMC managed species triggered; or Category I fishery under MMPA and takes above PBR   
 Offshore wind (Bio/Ecosystem)   | Low  | TBD 
 Offshore wind (Bio/Ecosystem)   | Low-Moderate | TBD 
 Offshore wind (Bio/Ecosystem)   | Moderate-High | TBD 
 Offshore wind (Bio/Ecosystem)   | High | TBD
 Offshore wind (Science/Access)   | Low  | TBD 
 Offshore wind (Science/Access)   | Low-Moderate | TBD 
 Offshore wind (Science/Access)   | Moderate-High | TBD 
 Offshore wind (Science/Access)   | High | TBD
 Other ocean activities   | Low  | TBD 
 Other ocean activities   | Low-Moderate | TBD 
 Other ocean activities   | Moderate-High | TBD 
 Other ocean activities   | High | TBD 
 Regulatory complexity   | Low  | Simple/few regulations; rarely if ever change; same recreational regs across all states 
 Regulatory complexity   | Low-Moderate | Low-moderate complexity; occasional recent changes; few (1-2) recreational regulation differences across states 
 Regulatory complexity   | Moderate-High | Moderate-high complexity; occasional recent changes; moderate (3-4) recreational regulation differences across states 
 Regulatory complexity   | High | High complexity; frequent recent changes; many (5+) recreational regulation differences across states 
 Discards   | Low  | No significant discards or incidental catch; no significant discard mortality 
 Discards   | Low-Moderate | Low or episodic discards and incidental catch; low discard mortality
 Discards   | Moderate-High | Regular discards and incidental catch but managed; moderate discard mortality 
 Discards   | High | High discards and incidental catch, difficult to manage; high discard mortality 
 Allocation  | Low  | No recent or ongoing Council discussion about allocation 
 Allocation  | Low-Moderate | *This category not used* 
 Allocation  | Moderate-High | *This category not used* 
 Allocation  | High | Recent or ongoing Council discussion about allocation 
